Model,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.17192456065152165,0.5227323503127793,0.2587479610362083,0.6008710152622995
Random Forest,0.15113235835656794,0.8557864164432529,0.25689662881158903,0.6528971053447344
XGBoost,0.14967537328669234,0.40946157283288653,0.21921754298529778,0.5658718543606345
